"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260801","중앙선","양원","1912","1927","20260804",""
"20260801","중앙선","구리","5848","6363","20260804",""
"20260801","우이신설선","솔샘","4020","3547","20260804",""
"20260801","우이신설선","북한산보국문","4571","3936","20260804",""
"20260801","우이신설선","정릉","3409","2805","20260804",""
"20260801","우이신설선","성신여대입구(돈암)","3220","3683","20260804",""
"20260801","우이신설선","보문","1433","1428","20260804",""
"20260801","우이신설선","신설동","1635","1560","20260804",""
"20260801","일산선","원흥","7695","7165","20260804",""
"20260801","일산선","지축","1","0","20260804",""
"20260801","일산선","삼송","14065","13712","20260804",""
"20260801","일산선","원당","8323","7859","20260804",""
"20260801","일산선","화정","12749","13126","20260804",""
"20260801","일산선","대곡","8614","8591","20260804",""
"20260801","일산선","백석","7445","7495","20260804",""
"20260801","일산선","마두","5057","5073","20260804",""
"20260801","일산선","정발산","5545","5668","20260804",""
"20260801","일산선","주엽","6388","6231","20260804",""
"20260801","일산선","대화","7092","6530","20260804",""
"20260801","장항선","봉명","794","804","20260804",""
"20260801","장항선","쌍용(나사렛대)","1902","1711","20260804",""
"20260801","장항선","아산","3621","3423","20260804",""
"20260801","장항선","탕정","1713","1550","20260804",""
"20260801","장항선","배방","1184","1071","20260804",""
"20260801","장항선","온양온천","4788","4808","20260804",""
"20260801","장항선","신창(순천향대)","1097","961","20260804",""
"20260801","중앙선","회기","19176","17611","20260804",""
"20260801","중앙선","중랑","4464","4264","20260804",""
"20260801","중앙선","상봉","4963","4857","20260804",""
"20260801","중앙선","망우","6131","5874","20260804",""
"20260801","중앙선","도농","6204","5863","20260804",""
"20260801","중앙선","양정","401","359","20260804",""
"20260801","중앙선","덕소","4247","4311","20260804",""
"20260801","중앙선","도심","1906","1609","20260804",""
"20260801","중앙선","팔당","979","1055","20260804",""
"20260801","중앙선","운길산","701","691","20260804",""
"20260801","중앙선","양수","2058","2115","20260804",""
"20260801","중앙선","신원","162","138","20260804",""
"20260801","중앙선","국수","593","600","20260804",""
"20260801","중앙선","아신","583","548","20260804",""
"20260801","중앙선","오빈","303","339","20260804",""
"20260801","중앙선","양평","2908","3104","20260804",""
"20260801","중앙선","원덕","320","380","20260804",""
"20260801","중앙선","용문","2743","2890","20260804",""
"20260801","중앙선","지평","50","55","20260804",""
"20260801","1호선","서울역","65708","64637","20260804",""
"20260801","1호선","시청","14917","15492","20260804",""
"20260801","1호선","종각","22262","22760","20260804",""
"20260801","1호선","종로3가","21103","19894","20260804",""
"20260801","1호선","종로5가","18902","18451","20260804",""
"20260801","1호선","동대문","14057","14317","20260804",""
"20260801","1호선","신설동","10443","9596","20260804",""
"20260801","1호선","제기동","13288","13458","20260804",""
"20260801","1호선","청량리(서울시립대입구)","21625","22144","20260804",""
"20260801","1호선","동묘앞","12875","13560","20260804",""
"20260801","2호선","시청","12807","10549","20260804",""
"20260801","2호선","을지로입구","34942","35769","20260804",""
"20260801","2호선","을지로3가","15058","15734","20260804",""
"20260801","2호선","을지로4가","9627","9386","20260804",""
"20260801","2호선","동대문역사문화공원(DDP)","15149","17886","20260804",""
"20260801","2호선","신당","12011","12843","20260804",""
"20260801","2호선","상왕십리","10268","9739","20260804",""
"20260801","2호선","왕십리(성동구청)","13040","12154","20260804",""
"20260801","2호선","한양대","4798","4780","20260804",""
"20260801","2호선","뚝섬","16108","16488","20260804",""
"20260801","2호선","성수","50299","53829","20260804",""
"20260801","2호선","건대입구","33887","36572","20260804",""
"20260801","2호선","구의(광진구청)","21197","20485","20260804",""
"20260801","2호선","강변(동서울터미널)","26265","25094","20260804",""
"20260801","2호선","잠실나루","8418","8256","20260804",""
"20260801","2호선","잠실(송파구청)","77959","76283","20260804",""
"20260801","2호선","잠실새내","19776","20121","20260804",""
"20260801","2호선","종합운동장","20160","22490","20260804",""
"20260801","2호선","삼성(무역센터)","41304","35824","20260804",""
"20260801","2호선","선릉","27049","23538","20260804",""
"20260801","2호선","역삼","18367","19772","20260804",""
"20260801","2호선","강남","60349","58765","20260804",""
"20260801","2호선","교대(법원.검찰청)","14868","18789","20260804",""
"20260801","2호선","서초","11921","10606","20260804",""
"20260801","2호선","방배","9030","9082","20260804",""
"20260801","2호선","사당","34075","38216","20260804",""
"20260801","2호선","낙성대(강감찬)","22131","19794","20260804",""
"20260801","2호선","서울대입구(관악구청)","36416","34151","20260804",""
"20260801","2호선","봉천","18233","16323","20260804",""
"20260801","2호선","신림","46748","44202","20260804",""
"20260801","2호선","신대방","19392","17883","20260804",""
"20260801","2호선","구로디지털단지","35656","33821","20260804",""
"20260801","2호선","대림(구로구청)","18422","19387","20260804",""
"20260801","2호선","신도림","39749","38969","20260804",""
"20260801","2호선","문래","12714","13984","20260804",""
"20260801","2호선","영등포구청","13781","14024","20260804",""
"20260801","2호선","당산","12472","12902","20260804",""
"20260801","2호선","합정","28605","32283","20260804",""
"20260801","2호선","홍대입구","82079","90801","20260804",""
"20260801","2호선","신촌","33613","34146","20260804",""
