"호선","역명","엘리베이터(E/V)","에스컬레이터(E/S)","휠체어리프트(W/L)","수평자동보도(M/W)"
"1호선","서울역(1)","4","5","0","0"
"1호선","시청(1)","3","3","0","0"
"1호선","종각","4","2","0","0"
"1호선","종로3가(1)","3","4","0","0"
"1호선","종로5가","3","0","0","0"
"1호선","동대문(1)","3","1","0","0"
"1호선","동묘앞(1)","7","12","0","0"
"1호선","신설동(1)","5","0","4","0"
"1호선","제기동","3","2","0","0"
"1호선","청량리(1)","2","6","0","0"
"2호선","시청(2)","2","4","0","0"
"2호선","을지로입구","4","6","0","0"
"2호선","을지로3가(2)","2","0","0","0"
"2호선","을지로4가(2)","3","2","0","0"
"2호선","동대문역사문화공원(2)","3","2","0","0"
"2호선","신당(2)","3","2","0","0"
"2호선","상왕십리","3","8","0","0"
"2호선","왕십리(2)","2","8","0","0"
"2호선","한양대","2","2","0","0"
"2호선","뚝섬","4","8","0","0"
"2호선","성수","4","8","0","0"
"2호선","용답","2","0","0","0"
"2호선","신답","2","0","0","0"
"2호선","용두","4","12","0","0"
"2호선","신설동(2)","3","0","5","0"
"2호선","건대입구(2)","2","2","0","0"
"2호선","구의","2","8","0","0"
"2호선","강변","2","2","0","0"
"2호선","잠실나루","2","4","0","0"
"2호선","잠실(2)","4","8","1","0"
"2호선","잠실새내","4","11","0","0"
"2호선","종합운동장(2)","3","5","0","0"
"2호선","삼성","5","4","1","0"
"2호선","선릉(2)","3","2","0","0"
"2호선","역삼","4","14","0","0"
"2호선","강남(2)","4","0","0","0"
"2호선","교대(2)","3","4","0","0"
"2호선","서초","4","8","0","0"
"2호선","방배","3","2","0","0"
"2호선","사당(2)","3","14","0","0"
"2호선","낙성대","3","8","0","0"
"2호선","서울대입구","3","8","0","0"
"2호선","봉천","2","8","0","0"
"2호선","신림","3","8","0","0"
"2호선","신대방","3","8","0","0"
"2호선","구로디지털단지","4","4","0","0"
"2호선","대림(2)","4","6","0","0"
"2호선","신도림(2)","4","9","0","0"
"2호선","도림천","2","0","0","0"
"2호선","양천구청","3","2","0","0"
"2호선","신정네거리","3","4","1","0"
"2호선","문래","4","4","0","0"
"2호선","영등포구청(2)","4","4","0","0"
"2호선","당산(2)","4","1","0","0"
"2호선","합정(2)","4","4","0","0"
"2호선","홍대입구(2)","2","8","0","0"
"2호선","신촌","4","4","0","0"
"2호선","이대","3","4","0","0"
"2호선","아현","4","2","0","0"
"2호선","충정로(2)","2","4","0","0"
"3호선","지축","1","0","0","0"
"3호선","구파발","2","4","0","0"
"3호선","연신내(3)","1","4","0","0"
"3호선","불광(3)","4","2","0","0"
"3호선","녹번","3","2","0","0"
"3호선","홍제","3","0","0","0"
"3호선","무악재","3","0","0","0"
"3호선","독립문","2","8","0","0"
"3호선","경복궁","2","10","0","0"
"3호선","안국","2","10","0","0"
"3호선","종로3가(3)","2","6","0","2"
"3호선","을지로3가(3)","2","2","0","0"
"3호선","동대입구","4","4","0","0"
"3호선","약수(3)","2","2","0","0"
"3호선","금호","3","6","0","0"
"3호선","옥수(3)","3","4","0","0"
"3호선","압구정","4","9","0","0"
"3호선","신사","4","6","0","0"
"3호선","잠원","3","0","0","0"
"3호선","고속터미널(3)","2","24","0","0"
"3호선","교대(3)","2","2","1","0"
"3호선","남부터미널","3","2","0","0"
"3호선","양재(3)","5","2","0","0"
"3호선","매봉","3","4","0","0"
"3호선","도곡(3)","0","8","0","0"
"3호선","대치","2","8","0","0"
"3호선","학여울","3","2","0","0"
"3호선","대청","3","4","0","0"
"3호선","일원","4","6","0","0"
"3호선","수서(3)","4","12","0","0"
"3호선","가락시장(3)","3","22","0","0"
"3호선","경찰병원","4","20","0","0"
"3호선","오금(3)","3","15","0","0"
"4호선","불암산","3","4","0","0"
"4호선","상계","1","4","0","0"
"4호선","노원(4)","3","8","0","0"
"4호선","창동(4)","8","6","0","0"
"4호선","쌍문","3","6","0","0"
"4호선","수유","3","4","0","0"
"4호선","미아","3","6","0","0"
"4호선","미아사거리","2","2","0","0"
"4호선","길음","3","3","0","0"
"4호선","성신여대입구(4)","4","4","0","0"
"4호선","한성대입구","3","2","0","0"
"4호선","혜화","4","4","0","0"
"4호선","동대문(4)","2","10","0","0"
"4호선","동대문역사문화공원(4)","2","6","0","0"
"4호선","충무로(4)","4","23","0","0"
"4호선","명동","2","5","0","0"
"4호선","회현","2","6","0","0"
