역명,자치구,호선_정규화,그룹,엘리베이터(E/V),월간총이용객수,EV1대당_이용객수,우선순위점수
도곡(3),강남구,3호선,엘리베이터 전무,0,325790,,100.0
홍대입구(2),마포구,2호선,있지만 부담 큰 역,2,4747973,2373986.5,99.0
연신내(3),은평구,3호선,있지만 부담 큰 역,1,2107615,2107615.0,87.89161025404267
고속터미널(3),서초구,3호선,있지만 부담 큰 역,2,3150225,1575112.5,65.68486024251128
명동,중구,4호선,있지만 부담 큰 역,2,2486841,1243420.5,51.85243443263268
잠실(2),송파구,2호선,있지만 부담 큰 역,4,4887970,1221992.5,50.958830666928115
서울역(1),중구,1호선,있지만 부담 큰 역,4,4716236,1179059.0,49.16839118238094
강남(2),강남구,2호선,있지만 부담 큰 역,4,4599121,1149780.25,47.947390563792055
건대입구(2),광진구,2호선,있지만 부담 큰 역,2,2237898,1118949.0,46.66164662588937
신림,관악구,2호선,있지만 부담 큰 역,3,3216394,1072131.3333333333,44.70922721041268
상계,노원구,4호선,있지만 부담 큰 역,1,1054180,1054180.0,43.960609557524656
광화문,종로구,5호선,있지만 부담 큰 역,2,1952540,976270.0,40.71155834481033
선릉(2),강남구,2호선,있지만 부담 큰 역,3,2908295,969431.6666666666,40.426381920607895
성수,성동구,2호선,있지만 부담 큰 역,4,3678833,919708.25,38.35278511376496
서울대입구,관악구,2호선,있지만 부담 큰 역,3,2598345,866115.0,36.11780611356213
