자치구,역_수,EV보유역수,EV전무역수,리프트만있는역수,EV보유율
강남구,17,16,1,0,94.1
중구,22,22,0,0,100.0
종로구,15,15,0,0,100.0
의정부시,1,1,0,0,100.0
은평구,13,13,0,0,100.0
용산구,9,9,0,0,100.0
영등포구,10,10,0,0,100.0
양천구,5,5,0,0,100.0
수정구,7,7,0,0,100.0
송파구,21,21,0,0,100.0
성북구,9,9,0,0,100.0
성동구,14,14,0,0,100.0
서초구,12,12,0,0,100.0
서대문구,5,5,0,0,100.0
마포구,16,16,0,0,100.0
동작구,12,12,0,0,100.0
동대문구,6,6,0,0,100.0
도봉구,3,3,0,0,100.0
덕양구,1,1,0,0,100.0
노원구,13,13,0,0,100.0
금천구,1,1,0,0,100.0
구로구,8,8,0,0,100.0
광진구,11,11,0,0,100.0
광명시,2,2,0,0,100.0
관악구,4,4,0,0,100.0
강서구,9,9,0,0,100.0
강북구,3,3,0,0,100.0
강동구,13,13,0,0,100.0
중랑구,8,8,0,0,100.0
하남시,4,4,0,0,100.0
