호선,역명,엘리베이터(E/V),에스컬레이터(E/S),휠체어리프트(W/L),수평자동보도(M/W),역명_정규화,호선_정규화,자치구,월간총이용객수,EV1대당_이용객수
1호선,서울역(1),4,5,0,0,서울역,1호선,중구,4716236,1179059.0
1호선,시청(1),3,3,0,0,시청,1호선,중구,1560287,520095.6666666667
1호선,종각,4,2,0,0,종각,1호선,종로구,2243917,560979.25
1호선,종로3가(1),3,4,0,0,종로3가,1호선,종로구,1361475,453825.0
1호선,종로5가,3,0,0,0,종로5가,1호선,종로구,1354961,451653.6666666667
1호선,동대문(1),3,1,0,0,동대문,1호선,종로구,799460,266486.6666666667
1호선,동묘앞(1),7,12,0,0,동묘앞,1호선,종로구,647518,92502.57142857143
1호선,신설동(1),5,0,4,0,신설동,1호선,동대문구,816990,163398.0
1호선,제기동,3,2,0,0,제기동,1호선,동대문구,905714,301904.6666666667
1호선,청량리(1),2,6,0,0,청량리,1호선,동대문구,1383364,691682.0
2호선,시청(2),2,4,0,0,시청,2호선,중구,1494136,747068.0
2호선,을지로입구,4,6,0,0,을지로입구,2호선,중구,3165649,791412.25
2호선,을지로3가(2),2,0,0,0,을지로3가,2호선,중구,1509378,754689.0
2호선,을지로4가(2),3,2,0,0,을지로4가,2호선,중구,868712,289570.6666666667
2호선,동대문역사문화공원(2),3,2,0,0,동대문역사문화공원,2호선,중구,1049525,349841.6666666667
2호선,신당(2),3,2,0,0,신당,2호선,중구,895754,298584.6666666667
2호선,상왕십리,3,8,0,0,상왕십리,2호선,성동구,814423,271474.3333333333
2호선,왕십리(2),2,8,0,0,왕십리,2호선,성동구,899179,449589.5
2호선,한양대,2,2,0,0,한양대,2호선,성동구,497964,248982.0
2호선,뚝섬,4,8,0,0,뚝섬,2호선,성동구,1434522,358630.5
2호선,성수,4,8,0,0,성수,2호선,성동구,3678833,919708.25
2호선,용답,2,0,0,0,용답,2호선,성동구,164591,82295.5
2호선,신답,2,0,0,0,신답,2호선,성동구,102629,51314.5
2호선,용두,4,12,0,0,용두,2호선,동대문구,126539,31634.75
2호선,신설동(2),3,0,5,0,신설동,2호선,동대문구,231808,77269.33333333333
2호선,건대입구(2),2,2,0,0,건대입구,2호선,광진구,2237898,1118949.0
2호선,구의,2,8,0,0,구의,2호선,광진구,1672206,836103.0
2호선,강변,2,2,0,0,강변,2호선,광진구,1595793,797896.5
2호선,잠실나루,2,4,0,0,잠실나루,2호선,송파구,852178,426089.0
2호선,잠실(2),4,8,1,0,잠실,2호선,송파구,4887970,1221992.5
2호선,잠실새내,4,11,0,0,잠실새내,2호선,송파구,1364346,341086.5
2호선,종합운동장(2),3,5,0,0,종합운동장,2호선,송파구,924301,308100.3333333333
2호선,삼성,5,4,1,0,삼성,2호선,강남구,3027226,605445.2
2호선,선릉(2),3,2,0,0,선릉,2호선,강남구,2908295,969431.6666666666
2호선,역삼,4,14,0,0,역삼,2호선,강남구,2796172,699043.0
2호선,강남(2),4,0,0,0,강남,2호선,강남구,4599121,1149780.25
2호선,교대(2),3,4,0,0,교대,2호선,서초구,1776437,592145.6666666666
2호선,서초,4,8,0,0,서초,2호선,서초구,1208933,302233.25
2호선,방배,3,2,0,0,방배,2호선,서초구,862197,287399.0
2호선,사당(2),3,14,0,0,사당,2호선,동작구,2503378,834459.3333333334
2호선,낙성대,3,8,0,0,낙성대,2호선,관악구,1579644,526548.0
2호선,서울대입구,3,8,0,0,서울대입구,2호선,관악구,2598345,866115.0
2호선,봉천,2,8,0,0,봉천,2호선,관악구,1352529,676264.5
2호선,신림,3,8,0,0,신림,2호선,관악구,3216394,1072131.3333333333
2호선,신대방,3,8,0,0,신대방,2호선,동작구,1387062,462354.0
2호선,구로디지털단지,4,4,0,0,구로디지털단지,2호선,구로구,3136350,784087.5
2호선,대림(2),4,6,0,0,대림,2호선,구로구,1392367,348091.75
2호선,신도림(2),4,9,0,0,신도림,2호선,구로구,2721352,680338.0
2호선,도림천,2,0,0,0,도림천,2호선,구로구,75136,37568.0
2호선,양천구청,3,2,0,0,양천구청,2호선,양천구,374185,124728.33333333333
2호선,신정네거리,3,4,1,0,신정네거리,2호선,양천구,540709,180236.33333333334
2호선,문래,4,4,0,0,문래,2호선,영등포구,1280672,320168.0
2호선,영등포구청(2),4,4,0,0,영등포구청,2호선,영등포구,1279943,319985.75
2호선,당산(2),4,1,0,0,당산,2호선,영등포구,1085643,271410.75
2호선,합정(2),4,4,0,0,합정,2호선,마포구,1973384,493346.0
2호선,홍대입구(2),2,8,0,0,홍대입구,2호선,마포구,4747973,2373986.5
